Category,Skills
information technology,"nginx, python, system monitoring, cloud storage, database management, data center management"
mobile application developer,"android sdk, react native, code review, json, app updates, firebase, app caching, mobile app testing, cocoa touch"
database developer,"olap, jdbc, database high availability, replication, nosql"
data scientist,"bayesian inference, predictive modeling, artificial neural networks, artificial intelligence, anomaly detection, data security, neural networks"
full stack developer,"express.js, responsive design, css3, cross-browser compatibility, mobile development, sass, mobile web development, jquery, websockets"
ui/ux designer,"color theory, user interface guidelines, ux design, user interface optimization, storytelling, persona development"
artificial intelligence,"neural networks, cloud-based ai, python, recurrent neural networks (rnn), data wrangling, catboost, matplotlib, ai optimization, supervised learning, logistic regression"
database developer,"data replication, data cleansing, graph databases, database scripting, data migration strategy, aws database, replication"
artificial intelligence,"natural language processing, logistic regression, speech recognition, generative models, robotic process automation (rpa), ai in gaming, data mining"
machine learning,"data engineering, h2o.ai, model training, python, model optimization, classification algorithms, kubernetes, generative adversarial networks (gans), machine learning operations (mlops)"
cyber security,"authentication, forensics, cisco security, cyber intelligence, zero trust architecture, cyber attack mitigation, security patch management, blue teaming"
network engineer,"network backbone, ipv4, voip, network security, wireless standards"
software engineer,"prometheus, node.js, ui/ux design, postgresql, restful apis, pandas, distributed systems, jira"
artificial intelligence,"recurrent neural networks (rnn), deep reinforcement learning, cloud computing, computer vision algorithms, unsupervised learning, reinforcement learning, artificial neural networks (ann)"
software engineer,"javascript (typescript), opencv, spark, github, node.js, trello, git, confluence, postgresql"
iot developer,"iot device security, aws iot, network protocols, ai integration in iot, python, ai in iot, raspberry pi, real-time systems, big data analytics, iot data processing"
machine learning,"data preprocessing, machine learning operations (mlops), natural language understanding (nlu), edge ai, support vector machines (svm), ai frameworks"
information technology,"vpn, server virtualization, storage solutions, sql queries, managed services"
full stack developer,"sql queries, mongodb, sass, c#, devops, firebase, rest apis"
mobile application developer,"google play store, mobile app backend, objective-c, agile development, restful apis"
backend developer,"service-oriented architecture, linux, mongodb atlas, serverless, ci/cd, server-side programming, apache kafka, application security"
artificial intelligence,"data mining, artificial neural networks (ann), deep reinforcement learning, automl, machine learning, graph neural networks (gnn), ai for healthcare"
backend developer,"database design, mysql, mongodb atlas, microservices, java, kubernetes, spring boot, docker compose, terraform"
machine learning,"big data machine learning, pandas, automl, model explainability, unsupervised learning"
cloud engineer,"cloud integration, cloud cdn, cloud load balancing, cloud identity management, bash, cloud containerization, cloud monitoring, cloud compliance"
data scientist,"predictive modeling, cloud computing, data governance, data mining, azure, tensorflow, neural networks, statistical modeling, data pipelines, google cloud platform"
information technology,"software updates, virtual private network (vpn), active directory, aws s3, vpn"
information technology,"application development, automation, vpn, sql, powershell, scripting"
data analyst,"data science, predictive analytics, python, machine learning, data visualization, survey analysis, statistics, excel, cloud computing"
information technology,"storage solutions, server virtualization, remote access, firewall configuration, ci/cd, data encryption, powershell"
backend developer,"test automation, serverless, restful web services, apache kafka, service-oriented architecture, junit"
mobile application developer,"jira, app store optimization (aso), uikit, push notifications, continuous integration, java, app monetization, ui/ux prototyping, core data, mobile analytics"
mobile application developer,"android jetpack, uikit, cocoa touch, google play store, testflight, apis, app usability testing, app caching"
data analyst,"aws, matplotlib, etl, data analytics, r, machine learning, sql"
machine learning,"docker, support vector machines (svm), pca (principal component analysis), data science, catboost, text classification, generative adversarial networks (gans), artificial intelligence, clustering, model optimization"
iot developer,"5g, iot cloud platforms, telemetry systems, sensor networks, iot system architecture, artificial intelligence (ai), cybersecurity (iot), zigbee, spi, data integration"
data analyst,"azure, spark, power bi, database management, survey analysis, pandas"
artificial intelligence,"convolutional neural networks (cnn), cloud computing, neural networks, big data, ai for robotics, data visualization, data wrangling, reinforcement learning"
data scientist,"hadoop, tableau, text mining, dimensional modeling, logistic regression, artificial intelligence"
iot developer,"data streaming, iot security, network protocols, javascript, iot cloud platforms, data integration, sensors"
data analyst,"business analysis, machine learning, power bi, gcp, survey analysis"
cyber security,"it governance, dlp, ids/ips, security automation, wireshark, iso 27001, web application security, identity and access management (iam)"
mobile application developer,"app security encryption, restful apis, app monetization, app customization, app debugging tools, apis, mobile app ui"
artificial intelligence,"support vector machines (svm), data visualization, convolutional neural networks (cnn), google cloud ai, reinforcement learning algorithms, scikit-learn, ai for business intelligence, unsupervised learning"
data scientist,"data pipelines, business intelligence, xgboost, dimensional modeling, deep learning algorithms, mathematics, supervised learning, kubernetes, r"
machine learning,"edge ai, logistic regression, time series forecasting, supervised learning, ai"
ui/ux designer,"a/b testing, market research, trello, product design, user-centered design"
cloud engineer,"ci/cd pipelines, bash, cloud computing, cloud automation, cloud networking, azure, terraform"
machine learning,"keras, numpy, data science, big data machine learning, statistical modeling, lightgbm"
web developer,"figma, webpack, github, vue.js, react, mongodb, seo"
cloud engineer,"cloud data warehousing, cloud integration, cloud backup, cloud networking, cloud security, chef, aws ec2, serverless architecture, cloud virtual machines"
artificial intelligence,"cloud-based ai, neural networks, deep learning algorithms, random forest, recurrent neural networks (rnn), data science"
web developer,"drupal, material ui, sublime text, ssl/tls, es6"
network engineer,"ubiquiti networks, routing protocols, ipv6 transition, linux, powershell, nat, bgp, network troubleshooting, aws networking, network monitoring"
cloud engineer,"automation, cloud performance, virtualization, service mesh, cloud databases, cloud monitoring, cloud deployment automation, bash"
machine learning,"text mining, pca (principal component analysis), data engineering, machine learning operations (mlops), model training, generative adversarial networks (gans), model interpretability, reinforcement learning algorithms, mlflow, lightgbm"
mobile application developer,"app performance optimization, android studio, firebase, core data, xcode, app store guidelines"
backend developer,"aws lambda, unit testing, database design, apis, git, mongodb atlas, php, mockito"
network engineer,"cisco ccie, data center networking, linux, network infrastructure, dhcp, junos, sd-wan, aws networking, voip"
database developer,"data analytics, pl/sql, data cleansing, java, data modeling, data integrity, data transformation, mongodb atlas"
mobile application developer,"apis, firebase, app customization, flutter, mobile app ui, uikit, app analytics, automated testing"
backend developer,"distributed systems, cloud apis, behavior-driven development, version control, data modeling, linux"
cyber security,"encryption, kali linux, threat detection, pentest, firewalls configuration, forensics"
machine learning,"federated learning, lightgbm, deep learning, mlflow, convolutional neural networks (cnn)"
software engineer,"opencv, etl, kubernetes, monitoring, data analysis, mongodb"
machine learning,"knn, automl, ai, neural networks, supervised learning, statistical modeling"
data scientist,"reinforcement learning, hadoop, mathematics, numpy, neural networks, data pipelines, pytorch, natural language processing (nlp)"
machine learning,"reinforcement learning, support vector machines (svm), model evaluation, logistic regression, model interpretability, unsupervised learning"
ui/ux designer,"user flows, zeplin, marvel, brand identity, svg, behavioral design, responsive design, ui animation"
machine learning,"ml systems, nlp techniques, pytorch, h2o.ai, numpy, neural networks, ai frameworks, artificial intelligence, lightgbm, data science"
data analyst,"business analysis, power query, statistics, customer insights, google bigquery, etl pipelines, python, power bi, business intelligence, rstudio"
machine learning,"lightgbm, support vector machines (svm), pytorch, docker, xgboost"
information technology,"tcp/ip, c#, sql queries, it asset management, cloud security, networking"
full stack developer,"mocha, html5, vue.js, gcp, graphql, nosql"
web developer,"express, html, magento, git, ajax, node.js, front-end frameworks"
iot developer,"iot cloud platforms, i2c, embedded systems, azure iot, wireless communication, data visualization, coap, artificial intelligence (ai), rest apis, iot protocols"
data analyst,"power pivot, pandas, data strategy, snowflake, text analytics, data pipeline"
web developer,"mongodb, ruby, mocha, web hosting, chai"
mobile application developer,"firebase, objective-c, mobile analytics, app updates, jira, core data, cross-platform development"
cloud engineer,"cloud apis, azure, iam, cloud disaster recovery, networking, monitoring tools"
database developer,"big data, data replication, xml, database clustering, tableau, data migration, google bigquery, data migration strategy"
big data engineer,"sql, big data modeling, spark streaming, yarn, big data cloud services, big data security, sql-on-hadoop, batch processing, distributed computing"
cyber security,"cyber attack mitigation, gcp security, security monitoring, wireshark, risk mitigation, incident response, siem integration, authorization, kali linux, pci dss"
ui/ux designer,"accessibility standards, ui/ux strategy, ui design, illustrator, market research, material design, design systems"
full stack developer,"aws, api integration, ci/cd, git, angular, cloud functions, mysql"
cloud engineer,"ci/cd, api gateway, cloud testing, cloud backup, python, cloud design patterns, vpc, automation"
web developer,"sketch, css3, html5, webpack, responsive design, netlify"
data scientist,"deep learning algorithms, clustering, data cleaning, predictive modeling, hadoop, random forest, collaborative filtering"
network engineer,"network auditing, network virtualization, bgp, network backbone, wide area networks, cisco asa, routing, ipv4, junos, tcp optimization"
full stack developer,"agile, javascript, redux, bootstrap, docker, web performance optimization, express.js"
database developer,"data structures, power bi, acid transactions, database indexing, indexing, data migration, redis, oracle, database optimization"
web developer,"react, webpack, css, heroku, shopify"
software engineer,"javascript (typescript), embedded linux, websockets, objective-c, angular, redis, github"
software engineer,"mysql, confluence, scikit-learn, opencv, raspberry pi, webassembly, jira"
big data engineer,"data visualization, data integration, data engineering, apache nifi, spark streaming, business intelligence"
mobile application developer,"android studio, android jetpack, mobile sdk, mobile app ui, code review, mobile app testing, json, app lifecycle management"
cyber security,"xss, encryption, advanced persistent threats, vulnerability management, cloud security, cisa"
big data engineer,"python, big data analytics, cloud computing, scala, apache hbase, data management tools, data architecture, data processing"
machine learning,"machine learning operations (mlops), data preprocessing, kubernetes, ml algorithms, support vector machines (svm), big data machine learning, model interpretability, numpy, knn, gradient boosting"
software engineer,"oauth, scrum, data analysis, aws, java, kafka, test automation, microservices, raspberry pi, kubernetes"
full stack developer,"database design, ui/ux design, sql, mocha, frontend frameworks, sass, docker, websockets"
big data engineer,"mongodb, apache hive, cloud computing, java, mapreduce, yarn, kubernetes"
web developer,"mongodb, node.js, heroku, shopify, html, webpack"
backend developer,"apis, mongodb, algorithms, distributed caching, full-stack development, cloud infrastructure, go, java"
machine learning,"data engineering, random forest, apache spark, data preprocessing, federated learning, model explainability, ai frameworks, classification algorithms, reinforcement learning"
database developer,"mongodb atlas, data governance, mysql, data cleansing, jdbc, big data, spark, java"
database developer,"database high availability, data lake, data integrity, etl, acid transactions, graph databases, db2, couchdb, aws database, data analytics"
big data engineer,"data governance, data modeling, etl tools, batch processing, big data security, cloud data solutions, data streaming, data architecture, docker, data management tools"
database developer,"etl, api integration, data migration strategy, cassandra, data integrity, tableau, database indexing"
full stack developer,"aws, frontend frameworks, gcp, cross-browser compatibility, ux/ui prototyping, websockets, sass, kubernetes, node.js, node package manager (npm)"
ui/ux designer,"html/css, sketch, user research, miro, html5, usability testing, css flexbox, user journey"
machine learning,"ensemble methods, data wrangling, dimensionality reduction, convolutional neural networks (cnn), ml systems, model evaluation, catboost, hyperparameter tuning, google cloud ai"
data analyst,"python, data cleansing, agile, hadoop, etl pipelines, data governance, data automation, snowflake"
big data engineer,"data pipeline automation, cassandra, big data optimization, python, yarn, data management tools, cloud data solutions, big data modeling"
artificial intelligence,"keras, aws, bayesian inference, catboost, ai model deployment, ai for healthcare, ai for business intelligence"
data scientist,"text mining, cross-validation, docker, sql, sql optimization, svm, bayesian inference"
iot developer,"iot data processing, data visualization, rest apis, mqtt, cloud platforms, telemetry systems, iot solutions, blockchain (iot), bluetooth"
data scientist,"computer vision, xgboost, data engineering, pytorch, data analysis, clustering, deep reinforcement learning, google cloud platform"
data analyst,"spark, cloud computing, data interpretation, hadoop, python, seaborn, rstudio, customer insights, sql, data modeling"
ui/ux designer,"ux/ui accessibility, trello, adobe xd, ui design, customer experience, design systems, ux/ui methodologies, css grid"
network engineer,"network virtualization, cisco asa, sd-wan, routing devices, ipsec, vpn, linux, network load balancing, network backbone"
data scientist,"modeling, jupyter notebooks, scikit-learn, sql queries, sql, ai, keras, collaborative filtering, hyperparameter tuning, docker"
machine learning,"catboost, generative adversarial networks (gans), data engineering, dimensionality reduction, random forest, ensemble methods, natural language processing (nlp), big data machine learning, tensorflow"
iot developer,"bluetooth low energy (ble), iot security, device connectivity, fpga, edge-to-cloud communication, iot device security"
software engineer,"scrum, mysql, azure, redis, bash, firebase, agile, penetration testing, restful apis"
cloud engineer,"cloud cost optimization, cloud virtual machines, elastic load balancer, cloud backup, devops, cloudformation, cloud compliance"
ui/ux designer,"mobile ux, ui/ux best practices, user interface optimization, wireframes, ui/ux strategy, usability testing, typography, material design"
data scientist,"data security, bayesian inference, machine learning operations (mlops), pytorch, mathematics, anomaly detection, dimensional modeling"
backend developer,"mongodb atlas, github, docker, postgresql, serverless, service-oriented architecture, junit, restful web services, cloud security"
artificial intelligence,"computer vision algorithms, unsupervised learning, deep learning algorithms, graph neural networks (gnn), data wrangling, data visualization, ai in security, ai in gaming, reinforcement learning algorithms"
data scientist,"tensorflow, data security, seaborn, clustering, data pipelines, cross-validation, time series analysis, monte carlo methods, data visualization"
information technology,"firewall configuration, endpoint security, active directory, it support, network configuration, itil, firewall management"
machine learning,"azure machine learning, edge ai, keras, speech recognition, recurrent neural networks (rnn), data wrangling, r, ml systems, xgboost"
web developer,"content management systems, version control, netlify, apache, nginx, progressive web apps, react, html, ci/cd, node.js"
ui/ux designer,"marvel, illustrator, brand identity, user feedback, user interface guidelines, customer experience, mobile app design, javascript, ui animation"
ui/ux designer,"miro, a/b testing, agile, figma prototyping, zeplin, market research"
ui/ux designer,"ui development, branding, invision, storytelling, user flows, user research"
artificial intelligence,"data visualization, ai in iot, ai solutions, automl, ai model interpretability, ai-driven analytics"
mobile application developer,"kotlin coroutines, app performance tools, google play store, c#, mobile app ui, mobile app backend"
machine learning,"time series forecasting, neural networks, scikit-learn, nlp techniques, apache spark, unsupervised learning"
machine learning,"scikit-learn, artificial intelligence, model evaluation, data engineering, ml algorithms, ai frameworks, tensorflow, machine learning operations (mlops), time series forecasting, deep learning"
machine learning,"apache spark, speech recognition, unsupervised learning, ai, natural language understanding (nlu), mlflow, data visualization, big data machine learning"
artificial intelligence,"ai model interpretability, seaborn, ai for robotics, catboost, data science, matplotlib"
big data engineer,"cloud storage, java mapreduce, data transformation, apache flink, apache nifi, data storage, spark streaming, azure"
artificial intelligence,"spark, google cloud ai, catboost, tensorflow, deep learning algorithms, ai for business intelligence, graph neural networks (gnn), pytorch"
iot developer,"embedded systems, embedded linux, cloud platforms, iot device security, rtos, firmware development, embedded c"
iot developer,"iot device management, aws iot, iot sensors, network programming, data storage, iot data processing, cloud platforms, edge ai, java, network protocols"
big data engineer,"data engineering, database management, cloud data solutions, data streaming, aws kinesis, yarn, aws redshift"
backend developer,"database integration, graphql, test automation, cloud security, sql query optimization, azure, algorithms, nginx"
information technology,"active directory, system administration, file management, web servers, python, kubernetes, vmware, business continuity"
cloud engineer,"cloud architecture, cloud application development, cloud orchestration, cloud databases, cloud data warehousing, monitoring tools, chef, cloud services, cloudformation, google cloud platform (gcp)"
big data engineer,"data processing, mapreduce, nosql, big data modeling, data pipeline automation, scala, hdfs"
full stack developer,"php, jest, behavior-driven development, graphql apis, gcp, mongodb, git, oauth"
web developer,"back-end frameworks, vue.js, web security, ssl/tls, angularjs, ux/ui design, mongodb, css flexbox, docker, ci/cd"
information technology,"python, jenkins, postgresql, managed services, active directory, ssl/tls, tcp/ip, itil, storage solutions, backup solutions"
ui/ux designer,"wireframe tools, user interface guidelines, miro, figma, ui/ux strategy, accessibility standards, javascript, ui design systems"
information technology,"system monitoring, git, mongodb, it security, vpn, software deployment, load balancing, web servers, data backup"
cloud engineer,"cloud design patterns, cloud native, cloud containerization, monitoring tools, automation, openstack"
big data engineer,"apache hbase, big data analytics, apache flink, mongodb, batch processing, graph databases, apache nifi, data modeling"
web developer,"ui testing, postgresql, shopify, python, responsive design, bootstrap, graphql, docker, web security, cross-browser compatibility"
cloud engineer,"scripting, network security, elastic load balancer, cloud databases, puppet, ci/cd, terraform, cloud services, bash, cloud monitoring"
iot developer,"wi-fi, embedded software, network programming, sensors, fog computing, fpga, data streaming, http, data visualization, iot device security"
software engineer,"objective-c, webassembly, restful apis, kotlin, cloud native, gcp, aws, embedded linux, jenkins"
web developer,"shopify, nosql, web hosting, seo optimization, apache, version control, netlify, mocha, performance optimization, jquery"
cyber security,"ransomware protection, cyber intelligence, ethical hacking, aws security, security automation, xss, cism, apt, fireeye, cyber attack mitigation"
cyber security,"data loss prevention, azure security, pci dss, burp suite, cloudflare, cyber risk assessment, security automation"
data analyst,"google bigquery, data automation, time series analysis, data modeling, cloud computing, sas"
cyber security,"cissp, risk mitigation, advanced persistent threats, blue teaming, soc analyst, gcp security, aws security"
backend developer,"c#, graphql apis, ci/cd, aws lambda, mongodb, containerization, server-side programming, jenkins, database troubleshooting"
network engineer,"f5 networks, azure networking, ubiquiti networks, network performance optimization, cisco, vlans, network infrastructure, network redundancy, mpls, network security"
full stack developer,"docker, vue.js, html5, sql, mobile development, containerization, agile"
database developer,"oracle, mongodb atlas, google bigquery, database high availability, backup and restore"
information technology,"api management, git, java, windows 10, database management, networking, ci/cd, sql server, vpn configuration, bash scripting"
data scientist,"hyperparameter tuning, data security, spark, seaborn, data pipelines, artificial neural networks, collaborative filtering, bayesian inference, random forest, data modeling"
backend developer,"cloud apis, azure, database design, postgresql, docker, oauth, spring boot, node.js, server-side programming"
ui/ux designer,"css grid, user interface guidelines, ux/ui methodologies, invision, balsamiq"
full stack developer,"jest, sql queries, jwt, mocha, node package manager (npm), cloud development, postgresql, nosql"
artificial intelligence,"seaborn, deep learning algorithms, mlflow, ai algorithms, scikit-learn, azure ai"
cyber security,"iso 27001, single sign-on (sso), aws security, fireeye, firewalls configuration, malware analysis"
artificial intelligence,"google cloud ai, data preprocessing, spark, deep learning algorithms, generative models, azure ai, recurrent neural networks (rnn), nlp, data science"
backend developer,"azure, caching strategies, docker, php, api gateway, distributed caching, restful web services, containerization, sql query optimization, rabbitmq"
full stack developer,"api integration, devops, azure, mobile development, vue.js, jquery, functional programming, docker, firebase"
full stack developer,"test-driven development, ux/ui prototyping, javascript, cross-browser compatibility, ci/cd, devops, jwt"
big data engineer,"big data cloud services, sql, business intelligence, etl, big data querying, data pipeline automation, data architecture, hadoop security, hadoop"
data scientist,"cross-validation, tableau, big data, h2o.ai, cloud computing, data pipelines, spark"
information technology,"network configuration, puppet, hardware installation, google cloud, docker"
mobile application developer,"mobile app ui, firebase, app debugging, ui/ux design, app debugging tools, ios sdk, cloud integration, app updates, app monetization"
artificial intelligence,"ai in iot, ai productization, ai for healthcare, gradient boosting, big data analytics, natural language processing, ai solutions, graph neural networks (gnn), azure ai"
software engineer,"microservices, node.js, network security, javascript (typescript), prometheus, etl, numpy, redis, java"
information technology,"google cloud, hyper-v, hardware installation, ssl/tls, linux, aws s3"
database developer,"data modeling, indexing, data warehousing, sql server, backup and restore, sql injection prevention, big data, data lake"
artificial intelligence,"ai algorithms, artificial neural networks (ann), azure ai, keras, ai-based optimization, google cloud ai, ai in security"
cyber security,"penetration testing, vpn, application security, soc analyst, linux security, firewalls configuration, pentest, xss"
big data engineer,"spark streaming, big data security, big data optimization, apache nifi, data processing, data visualization, etl tools, aws redshift, apache flink"
network engineer,"network backbone, dns, wide area networks, network topology, traffic analysis, firewall configuration, linux, network security, site-to-site vpn"
information technology,"sql queries, application development, vmware vsphere, hyper-v, data encryption, active directory, it security, nginx"
data scientist,"apache kafka, statistics, big data, numpy, sql optimization, data wrangling, modeling"
ui/ux designer,"jira, javascript, user research, responsive web design, web design"
cyber security,"vpn, cloudflare, risk mitigation, nessus, compliance auditing, iso 27001, azure security, security policies, security tools, gcp security"
cloud engineer,"linux, cloud backup, cloud application development, cloud automation, cloud apis, aws s3, cloud storage, cloud databases, terraform"
full stack developer,"git, jwt, mysql, cloud development, oauth, css3, mongodb, graphql, cloud functions, cross-browser compatibility"
network engineer,"ntp, ethernet, ip addressing, remote access networks, gcp networking, bgp, ospf, network troubleshooting, cisco ccie"
machine learning,"support vector machines (svm), classification algorithms, machine learning operations (mlops), mlflow, data cleaning, statistical modeling, logistic regression"
machine learning,"reinforcement learning, ml systems, statistical modeling, data preprocessing, model deployment, classification algorithms"
cyber security,"incident response, two-factor authentication, ids/ips, cisco security, dlp, penetration testing, redhat security"
backend developer,"docker compose, mysql, ci/cd pipeline, serverless, test automation, application security"
database developer,"data warehousing, api integration, data analysis, graph databases, aws redshift, data access management, sql injection prevention, database indexing, distributed databases, replication"
web developer,"seo optimization, jasmine, invision, rest apis, back-end frameworks"
data analyst,"power query, data architecture, data interpretation, database management, jupyter notebooks, pandas, time series analysis, data reporting, hadoop, google analytics"
data analyst,"tensorflow, data interpretation, data strategy, customer insights, business analysis, data collection, time series analysis, sql, aws, excel"
big data engineer,"apache hbase, machine learning (big data), data redundancy, data warehousing, data pipeline, hadoop security"
ui/ux designer,"svg, persona development, design thinking, html/css, information architecture, figma prototyping, wireframe tools"
machine learning,"machine learning operations (mlops), model interpretability, data preprocessing, ml systems, text classification, federated learning, pca (principal component analysis), unsupervised learning, model training, data visualization"
mobile application developer,"c#, react native, app distribution, android sdk, android studio, code review, app customization"
iot developer,"iot protocols, cloud platforms, google cloud iot, iot cloud platforms, artificial intelligence (ai), embedded systems design"
artificial intelligence,"text mining, recurrent neural networks (rnn), reinforcement learning, natural language processing, model evaluation, gradient boosting, spark, ai-based optimization, support vector machines (svm)"
big data engineer,"java, apache hbase, data governance, apache storm, data architecture, azure, spark streaming, spark"
cloud engineer,"cloud data warehousing, cloud infrastructure, helm, virtualization, cloud automation"
backend developer,"junit, microservices, aws lambda, kubernetes, graphql, service-oriented architecture, jwt, devops, postgresql"
data analyst,"data extraction, aws, data strategy, data science, data governance, market research"
web developer,"mysql, github, django, sublime text, prototyping, wireframing, aws, git, front-end frameworks"
artificial intelligence,"ai in iot, generative models, supervised learning, ai-based optimization, deep learning, scikit-learn"
iot developer,"iot device management, iot sensors, data integration, arduino, spi, c, lte, cloud platforms"
cloud engineer,"cloud performance, cloud disaster recovery, cloud cdn, cloud services, puppet, cloud monitoring, devops, cloud automation, bash, cloud data integration"
web developer,"graphql, ajax, figma, ruby, responsive design"
database developer,"database scaling, database troubleshooting, rdbms, sql server, database scripting, redis, odbc, mongodb, database backup"
machine learning,"deep learning, federated learning, ml algorithms, generative adversarial networks (gans), python, data engineering, automl, natural language processing (nlp), xgboost, scikit-learn"
backend developer,"go, ci/cd, restful web services, websockets, junit testing, database troubleshooting, aws lambda, elasticsearch"
database developer,"data storage solutions, data integration, xml, oracle, sql reporting, azure sql database, aws redshift, google bigquery, jdbc"
database developer,"database troubleshooting, data replication, nosql, c#, nosql databases, azure sql database, dynamodb, sql reporting, graph databases"
cyber security,"linux security, windows security, ids/ips, cloud access security broker (casb), soc, compliance, azure security"
network engineer,"cisco, cisco ccie, vpn, snmp, tcp optimization"
network engineer,"juniper networks, f5 networks, ospf, palo alto networks, network scaling, ubiquiti networks"
cyber security,"blue teaming, malware reverse engineering, data loss prevention, aws security, cyber intelligence, threat intelligence"
backend developer,"junit testing, jwt authentication, terraform, api gateway, azure, full-stack development, graphql, load balancing"
software engineer,"test automation, graphql, mongodb, oauth2, sql"
data analyst,"seaborn, data analytics, dax, data cleansing, data automation"
machine learning,"classification algorithms, model explainability, statistical modeling, hyperparameter tuning, big data machine learning"
machine learning,"transfer learning, ml algorithms, data preprocessing, clustering, catboost, automl, federated learning, random forest"
cloud engineer,"cloud performance, puppet, cloud backup, cloud containerization, cloud platform solutions, api gateway, cloud deployment automation"
network engineer,"cisco ccna, network troubleshooting tools, network virtualization, tcp/ip, virtual lans (vlans)"
software engineer,"bash, etl, java, penetration testing, docker, angular, hadoop, oauth, html"
big data engineer,"google cloud platform, hdfs, data pipeline automation, mongodb, apache flink, kubernetes, sql, hadoop, real-time processing, zookeeper"
data analyst,"sql reporting, hadoop, azure, data visualization, sql"
information technology,"tcp/ip, citrix, google cloud, sql, sql queries, windows server, hyper-v, servicenow"
web developer,"google cloud, web security, django, ssl/tls, visual studio code, angular, apache"
big data engineer,"big data security, apache hbase, apache nifi, data pipeline, etl pipelines, kubernetes"
artificial intelligence,"nlp, adversarial networks, catboost, model evaluation, machine learning operations (mlops), ai software development"
full stack developer,"php, python, react, cross-browser compatibility, express.js, jest"
information technology,"google cloud, java, backup solutions, tcp/ip networking, tcp/ip, remote access, servicenow, endpoint security, aws s3"
artificial intelligence,"ai for finance, ai in autonomous vehicles, azure ai, edge ai, logistic regression, data visualization"
data scientist,"aws, h2o.ai, sql, azure, business intelligence, dimensional modeling, reinforcement learning, scikit-learn"
cloud engineer,"git, cloud devops, cloud data warehousing, cloud apis, cloud data integration, cloud computing, cloud migration, big data on cloud, cloud databases"
machine learning,"model interpretability, kubernetes, time series forecasting, linear regression, keras, hyperparameter tuning, edge ai, logistic regression"
big data engineer,"data cleansing, elasticsearch, data storage, docker, data transformation, mapreduce, aws emr, data pipeline, distributed computing, distributed data systems"
data analyst,"business intelligence, jupyter notebooks, data reporting, data governance, data strategy, statistics, gcp, business analysis"
backend developer,"go, linux, websockets, github, ci/cd, express.js, rest apis, mongodb, graphql apis"
cyber security,"fireeye, cloudflare, sql injection, cyber intelligence, owasp top 10, red teaming, security auditing, security automation, cisco security, soc analyst"
big data engineer,"cloud storage, data pipeline, real-time analytics, sql, data integration"
ui/ux designer,"jira, user testing, user journey, ux/ui accessibility, cross-browser design, responsive design, prototyping"
ui/ux designer,"css grid, customer experience, ui development, ui/ux best practices, ui design"
cloud engineer,"cloud native, cloud design patterns, cloud platform solutions, cloud data integration, aws s3, cloud cdn, cloud orchestration, security groups, docker, cloud deployment"
machine learning,"model training, generative adversarial networks (gans), tensorflow, support vector machines (svm), kubernetes, python, xgboost, unsupervised learning, natural language understanding (nlu), numpy"
backend developer,"junit testing, spring cloud, mongodb, cloud infrastructure, microservices architecture, go, postgresql, microservices, php"
big data engineer,"docker, etl tools, data cleansing, distributed computing, business intelligence, cloud data solutions, apache nifi, big data modeling, big data frameworks, data storage"
machine learning,"data science, scikit-learn, support vector machines (svm), kubernetes, r, data wrangling, ai frameworks, reinforcement learning, data engineering"
ui/ux designer,"user research, ux/ui methodologies, jira, product design, prototype testing, user research, ui animation"
iot developer,"ai integration in iot, c++, artificial intelligence (ai), iot device management, wireless communication"
machine learning,"data science, google cloud ai, dimensionality reduction, data wrangling, mlflow"
machine learning,"pca (principal component analysis), docker, ensemble methods, supervised learning, automl"
machine learning,"ai, speech recognition, deep learning, hyperparameter tuning, pytorch, text classification"
machine learning,"support vector machines (svm), clustering, hyperparameter tuning, model explainability, natural language processing (nlp), text mining, model interpretability, dimensionality reduction"
iot developer,"5g, telemetry systems, data mining, network programming, bluetooth low energy (ble)"
artificial intelligence,"mlflow, keras, ai software development, natural language processing, scikit-learn, ai in iot, ai model deployment"
cyber security,"security monitoring, identity and access management (iam), xss, linux security, advanced persistent threats, cloudflare, cyber attack mitigation, malware analysis"
cloud engineer,"k8s, monitoring tools, ci/cd pipelines, cloud application development, cloud infrastructure, cloud load balancing, cloud databases"
artificial intelligence,"google cloud ai, seaborn, natural language processing, machine learning, quantum ai, robotic process automation (rpa), adversarial networks, big data analytics, data visualization"
software engineer,"confluence, ci/cd, javascript (typescript), tensorflow, test automation, vue.js"
backend developer,"c#, docker compose, microservices, behavior-driven development, express.js, database troubleshooting, ci/cd, oauth2, ci/cd pipeline"
web developer,"sketch, css flexbox, node.js, apache, front-end frameworks, jasmine, google cloud, docker, mocha"
backend developer,"node.js, github, django, mongodb, apis, mockito, mysql, docker compose, algorithms, continuous deployment"
artificial intelligence,"ai for business intelligence, ai model interpretability, machine learning operations (mlops), ai-based optimization, azure ai, aws, ai for robotics, ai software development"
information technology,"cloud deployment, kubernetes, docker, hardware installation, itil, cloud storage"
data scientist,"statistics, etl, supervised learning, tensorflow, data engineering, h2o.ai, deep learning algorithms, dimensionality reduction"
network engineer,"routing, aws networking, network performance optimization, access control lists (acls), traffic analysis, network simulation, remote access networks, ntp, powershell, cisco ccnp"
iot developer,"arduino, fog computing, wi-fi, cloud platforms, edge data processing, data storage, bluetooth, firmware development, ai algorithms"
